scheduled_at,topic,tone,subject,text,photo_path,posted
2026-05-25 13:21:46 WAT,new music drops,spicy,Tyler's new project,Tyler's new project is lowkey his most experimental work yet and honestly it's kinda refreshing to see him stray from the norm like this,,False
2026-05-25 13:24:41 WAT,movies and TV series,hype,that new Netflix music documentary,just binged that new netflix music doc and im FREAKING OUT the stories behind the songs are insane,,False
2026-05-25 13:30:08 WAT,music charts and streaming numbers,nostalgic,the Afrobeats chart right now,"love seein Afrobeats takin over the charts, brings back memories of growin up on Fela Kuti and King Sunny Ade, the vibe is still alive",,False
2026-05-25 13:34:10 WAT,throwback music nostalgia,casual,old school Afrobeat,"Fela Kuti's still the king of Afrobeat, nothing beats that old school vibe",,False
2026-05-25 13:40:27 WAT,movies and TV series,casual,that A24 film everyone's talking about,just saw that new A24 movie and honestly it's so overhyped the cinematography is insane tho,,False
2026-05-25 13:44:12 WAT,music beef and drama,informative,the apology nobody believed,the apology nobody believed is amazing. (Fallback due to error),,False
2026-05-25 13:48:47 WAT,new music drops,spicy,Davido's latest,"Davido's latest drop is straight fire but let's be real, it's not his best work, still got that African vibe tho",,False
2026-05-25 13:51:57 WAT,afrobeats music,nostalgic,Wizkid's influence on the genre,"Wizkid's sound is like a time machine, takes me back to summer nights dancing to Ojuelegba, he's lowkey the reason afrobeats is everywhere now",,False
2026-05-25 13:57:04 WAT,afrobeats music,nostalgic,Afrobeats taking over global charts,"Afrobeats takin over everywhere now, crazy to think back to when it was just a vibe at family parties and now the whole world's dancing to it",,False
2026-05-25 14:00:01 WAT,music beef and drama,spicy,that diss track that changed the game,"Eminem's The Real Slim Shady still goes harder than most modern diss tracks, no one touches his level of savage honesty",,False
2026-05-25 14:06:09 WAT,music beef and drama,informative,the apology nobody believed,"still think that public apology was just damage control, nobody buying it after what went down at that concert",,False
2026-05-25 14:09:08 WAT,movies and TV series,casual,that A24 film everyone's talking about,"just watched that new A24 film and idk what the hype is about, it's so overrated",,False
2026-05-25 14:13:37 WAT,movies and TV series,nostalgic,that HBO music series,"Vinyl Nights still gives me chills, reminds me of staying up late as a kid watching music vids on tv, the way they wove stories through the songs was pure magic",,False
2026-05-25 14:18:32 WAT,new music drops,nostalgic,Burna Boy's collab,"Burna Boy's new collab is giving me vibes of summer nights and freedom, his voice just takes me back to a different time",,False
2026-05-25 14:23:03 WAT,new music drops,nostalgic,Wizkid's vault release,"Wizkid just dropped a vault release and I'm taken back to summer nights dancing to his old tracks, feels like no time has passed",,False
2026-05-25 14:27:16 WAT,new music drops,informative,Tems' latest drop,"Tems just dropped new heat and her vocals are giving me chills, she's on a whole other level right now",,False
2026-05-25 14:32:37 WAT,concerts and music festivals,spicy,Wireless Festival,"Wireless Fest has been going downhill since they stopped focusing on UK rap and grime, too much mainstream crap now",,False
2026-05-25 14:35:06 WAT,afrobeats music,casual,Wizkid's influence on the genre,"Wizkid's the real deal, he's lowkey the one who took afrobeats global, his vibe's everywhere now",,False
2026-05-25 14:38:47 WAT,concerts and music festivals,hype,Rolling Loud,"Rolling Loud is gonna be LIT this year, the lineup is insane!! Been counting down the days till I can see my faves perform live",,False
2026-05-25 14:45:21 WAT,award shows music,spicy,MTV VMAs drama,"VMAs are all about the performances now, who cares about the actual awards?",,False
2026-05-25 14:47:45 WAT,award shows music,hype,MOBO nominees this year,"this years MOBO nominees are insane, Stormzy and Little Simz are gonna take home everything",,False
2026-05-25 14:51:44 WAT,movies and TV series,casual,that HBO music series,"just binged that new HBO music series and idk what's more frustrating, the characters' lives or the fact i cant get the soundtrack out my head",,False
2026-05-25 14:55:59 WAT,music beef and drama,hype,that diss track that changed the game,"still get chills thinking about that infamous diss track, completely flipped the script on the whole industry, no one saw it coming and it's still giving me life",,False
2026-05-25 15:01:43 WAT,new music drops,informative,this new Asake record,"Asake's new record is lowkey a vibe, been on repeat all morning, that guy's got some serious talent",,False
2026-05-25 15:05:53 WAT,hip hop and rap,spicy,this generation of rappers vs the last,"last gen of rappers had way more substance, todays all about the beat and melody, dont get me wrong its fire but where's the depth?",,False
2026-05-25 15:11:20 WAT,new music drops,informative,Chappell Roan's new track,"just heard Chappell Roan's new track and her vocals are so hauntingly beautiful, gives me chills every time",,False
2026-05-25 15:13:51 WAT,award shows music,hype,MTV VMAs drama,"VMAs are gonna be LIT this year, so many snubs and shade thrown already, can't wait to see what goes down live",,False
2026-05-25 15:19:39 WAT,music beef and drama,spicy,the beef that nobody expected,"Taylor's feud with Kanye was nothing compared to the subtle shade Billie's been throwing at Lizzo, lowkey the most interesting beef of the year",,False
2026-05-25 15:24:15 WAT,award shows music,informative,BET Awards performance of the night,"got chills from that last performance, still thinking about it and i'm calling it, that was def the performance of the night",,False
2026-05-25 15:27:00 WAT,behind the scenes music industry,nostalgic,the songwriting camp nobody knew about,"still gives me chills thinking about that secret songwriting camp in the woods, where some of our favorite hits were born, so much talent in one place, pure magic happened there",,False
2026-05-25 15:30:55 WAT,music beef and drama,casual,the beef that nobody expected,dude didnt see that drake and the weeknd beef coming at all what's goin on,,False
2026-05-25 15:37:35 WAT,throwback music nostalgia,nostalgic,90s hip hop production,"Still get chills thinkin about DJ Premier's beats in the 90s, something about that sound just takes me back to summertime and mixtapes",,False
2026-05-25 15:41:53 WAT,concerts and music festivals,hype,Glastonbury this year,"Glastonbury lineup is insane this year!! been counting down the days till june, my fave artists are all playing",,False
2026-05-25 15:46:41 WAT,pop music,spicy,hyperpop going mainstream,"Hyperpop's gone mainstream and honestly it's getting watered down, all the edge is gone now",,False
2026-05-25 15:48:12 WAT,music beef and drama,hype,the apology nobody believed,"that public apology was such a joke, nobody's buying it, still rooting for the other side all the way",,False
2026-05-25 15:55:03 WAT,hip hop and rap,spicy,drill music's evolution,"drill's gotten too polished, miss the raw energy of early days",,False
2026-05-25 15:58:15 WAT,music charts and streaming numbers,informative,Apple Music flipping the script this week,so Apple Music just dropped their latest charts and honestly the top 10 is all over the place this week,,False
